order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
112,7004,2023-04-21,,6,130.28,781.68,Completed,2023-04-21
113,7478,2025-10-26,,1,86.75,86.75,Completed,2025-10-26
114,8707,2026-02-03,,5,84.81,424.05,Completed,2026-02-04
115,8305,2026-08-01,,6,35.17,211.02,Completed,2026-08-02
116,7572,2025-05-04,,2,220.01,440.02,Completed,2025-05-04
117,1,2025-02-04,,5,47.28,236.40,Pending,
118,8654,2023-02-27,,3,26.74,80.22,Pending,
119,1416,2026-04-19,,6,174.67,1048.02,Completed,2026-04-22
120,4228,2023-01-31,,1,152.94,152.94,Pending,
121,815,2024-07-01,,3,17.34,52.02,Cancelled,
122,7746,2023-05-28,,6,83.49,500.94,Completed,2023-05-30
123,6849,2023-07-18,,3,158.36,475.08,Completed,2023-07-19
124,4264,2023-03-03,,4,142.23,568.92,Completed,2023-03-08
125,3023,2023-08-21,,1,33.06,33.06,Completed,2023-08-21
126,8421,2026-08-28,,5,90.93,454.65,Pending,
127,1823,2025-06-07,,3,160.71,482.13,Completed,2025-06-07
128,5774,2023-09-18,,2,69.41,138.82,Completed,2023-09-18
129,9020,2025-05-15,,4,197.26,789.04,Completed,2025-05-20
130,3553,2025-02-24,,4,7.97,31.88,Completed,2025-02-28
131,1009,2023-01-21,,3,180.64,541.92,Completed,2023-01-21
132,6878,2023-02-27,,1,137.40,137.40,Completed,2023-02-28
133,9039,2024-07-18,,6,187.61,1125.66,Completed,2024-07-23
134,4816,2024-07-28,,5,9.97,49.85,Completed,2024-07-29
135,8457,2024-01-28,,1,116.36,116.36,Completed,2024-02-02
136,2400,2024-08-18,,3,226.05,678.15,Completed,2024-08-20
137,2561,2024-08-17,,1,21.35,21.35,Completed,2024-08-19
138,1294,2026-02-04,,1,38.89,38.89,Pending,
139,8998,2023-09-30,,4,95.63,382.52,Pending,
140,3591,2026-07-26,,2,136.51,273.02,Completed,2026-07-31
141,6718,2025-10-22,,4,11.59,46.36,Completed,2025-10-25
142,4398,2025-04-10,,3,112.57,337.71,Completed,2025-04-14
143,3527,2023-06-15,,4,144.06,576.24,Completed,2023-06-19
144,7028,2026-03-03,,6,64.81,388.86,Completed,2026-03-08
145,4144,2024-06-09,,6,194.67,1168.02,Completed,2024-06-13
146,4178,2024-03-21,,6,175.24,1051.44,Completed,2024-03-23
147,5389,2025-10-25,,5,164.50,822.50,Completed,2025-10-25
148,2763,2024-04-23,,4,33.06,132.24,Completed,2024-04-25
149,6328,2024-11-06,,1,165.13,165.13,Pending,
150,2450,2025-05-14,,1,249.64,249.64,Completed,2025-05-18
151,4095,2025-04-16,,1,12.74,12.74,Pending,
152,1192,2026-01-24,,5,28.84,144.20,Completed,2026-01-29
153,3589,2025-12-17,,1,15.77,15.77,Completed,2025-12-20
154,54,2026-09-02,,3,176.00,528.00,Completed,2026-09-04
155,4183,2024-04-16,,6,37.87,227.22,Completed,2024-04-19
156,7700,2023-07-03,,6,20.75,124.50,Cancelled,
157,5437,2023-06-27,,3,93.75,281.25,Completed,2023-07-02
158,2161,2024-12-25,,5,161.74,808.70,Pending,
159,2176,2025-04-12,,1,78.51,78.51,Completed,2025-04-15
160,2829,2023-01-23,,1,135.61,135.61,Pending,
161,8395,2025-12-03,,4,162.33,649.32,Completed,2025-12-05
162,1750,2024-05-06,,4,45.56,182.24,Completed,2024-05-07
163,8308,2024-10-29,,4,198.31,793.24,Cancelled,
164,3112,2024-07-25,,3,75.40,226.20,Completed,2024-07-29
165,1178,2023-04-02,,4,54.20,216.80,Completed,2023-04-05
166,6819,2023-05-28,,5,181.95,909.75,Completed,2023-05-29
167,7333,2025-08-23,,1,28.87,28.87,Completed,2025-08-24
168,5227,2024-01-31,,6,83.01,498.06,Completed,2024-02-04
169,3593,2024-11-07,,3,33.01,99.03,Pending,
170,5685,2023-05-20,,5,72.15,360.75,Completed,2023-05-25
171,328,2024-06-26,,4,218.39,873.56,Pending,
172,7750,2024-04-10,,5,204.07,1020.35,Completed,2024-04-14
173,8789,2023-06-16,,5,40.39,201.95,Completed,2023-06-21
174,770,2025-02-12,,6,12.87,77.22,Pending,
175,9469,2025-01-14,,5,166.28,831.40,Pending,
176,7589,2023-04-03,,3,59.71,179.13,Completed,2023-04-06
177,7676,2026-04-29,,4,122.24,488.96,Completed,2026-04-30
178,2146,2025-02-03,,5,101.12,505.60,Pending,
179,494,2025-09-22,,2,139.22,278.44,Completed,2025-09-25
180,3518,2025-10-11,,2,139.71,279.42,Pending,
181,5911,2023-08-28,,1,103.75,103.75,Cancelled,
182,7142,2026-05-19,,4,133.00,532.00,Completed,2026-05-24
183,2971,2024-04-13,,5,143.13,715.65,Completed,2024-04-13
184,4351,2025-03-24,,6,173.12,1038.72,Completed,2025-03-26
185,6458,2023-01-07,,6,180.35,1082.10,Completed,2023-01-12
186,6607,2025-12-15,,5,243.06,1215.30,Completed,2025-12-19
187,3920,2023-05-25,,6,207.81,1246.86,Completed,2023-05-30
188,3760,2023-03-06,,3,35.99,107.97,Pending,
189,7838,2024-10-28,,3,239.60,718.80,Cancelled,
190,8717,2024-12-10,,3,188.28,564.84,Completed,2024-12-12
191,5115,2023-12-11,,3,172.82,518.46,Completed,2023-12-16
192,4771,2023-07-17,,2,27.47,54.94,Completed,2023-07-22
193,6334,2024-08-12,,4,18.47,73.88,Pending,
194,1023,2024-03-24,,1,68.03,68.03,Completed,2024-03-27
195,4355,2023-09-14,,6,227.89,1367.34,Completed,2023-09-17
196,6467,2025-02-06,,5,11.41,57.05,Pending,
197,8772,2024-10-29,,1,189.40,189.40,Completed,2024-11-03
198,9162,2026-04-05,,4,17.77,71.08,Completed,2026-04-09
199,8226,2025-06-17,,3,41.84,125.52,Completed,2025-06-17
200,7822,2024-04-26,,5,235.42,1177.10,Completed,2024-04-29
201,7569,2023-11-07,,5,108.81,544.05,Completed,2023-11-10
202,7291,2024-07-25,,5,175.62,878.10,Completed,2024-07-28
203,1017,2024-10-27,,1,134.66,134.66,Completed,2024-10-31
204,5286,2024-07-09,,6,76.35,458.10,Completed,2024-07-12
205,5737,2025-06-13,,5,46.29,231.45,Pending,
206,1811,2025-06-22,,5,238.98,1194.90,Completed,2025-06-24
207,2323,2023-07-09,,5,107.64,538.20,Completed,2023-07-09
208,9586,2025-10-31,,6,179.77,1078.62,Completed,2025-11-03
209,2299,2023-02-25,,4,67.54,270.16,Cancelled,
210,5161,2024-06-15,,2,58.60,117.20,Completed,2024-06-20
211,5344,2023-07-07,,6,104.97,629.82,Completed,2023-07-09
212,9083,2023-07-04,,1,79.41,79.41,Completed,2023-07-05
213,6291,2023-10-22,,6,230.43,1382.58,Cancelled,
214,9292,2024-11-13,,6,162.66,975.96,Completed,2024-11-17
215,3926,2024-12-04,,1,234.23,234.23,Completed,2024-12-07
216,6225,2024-07-31,,4,97.60,390.40,Completed,2024-07-31
217,1042,2025-06-09,,6,20.95,125.70,Cancelled,
218,5695,2025-11-05,,4,27.43,109.72,Pending,
219,3322,2023-11-01,,5,110.59,552.95,Completed,2023-11-02
220,7011,2023-08-20,,1,169.17,169.17,Completed,2023-08-24
221,1176,2025-09-09,,1,240.37,240.37,Completed,2025-09-12
222,4929,2024-02-20,,1,48.32,48.32,Completed,2024-02-20
223,4668,2025-03-03,,5,241.16,1205.80,Pending,
224,1304,2024-09-30,,6,44.18,265.08,Completed,2024-10-01
225,1323,2026-08-29,,5,63.83,319.15,Completed,2026-08-30
226,8951,2024-02-28,,6,99.65,597.90,Completed,2024-02-29
227,2617,2025-11-01,,5,196.69,983.45,Completed,2025-11-06
228,5877,2025-08-02,,6,242.49,1454.94,Completed,2025-08-04
229,7138,2026-07-15,,6,30.20,181.20,Pending,
230,9013,2024-09-22,,1,122.30,122.30,Completed,2024-09-24
231,9979,2023-01-13,,4,69.24,276.96,Completed,2023-01-15
232,1305,2024-04-29,,5,130.57,652.85,Cancelled,
233,4169,2024-10-16,,6,229.76,1378.56,Completed,2024-10-18
234,5305,2026-06-27,,2,46.42,92.84,Completed,2026-06-29
235,1165,2023-07-06,,4,185.42,741.68,Pending,
236,2424,2024-10-07,,4,214.91,859.64,Completed,2024-10-08
237,3459,2024-01-24,,2,7.64,15.28,Pending,
238,7006,2026-07-11,,1,24.09,24.09,Pending,
239,4000,2023-10-14,,6,246.39,1478.34,Cancelled,
240,6889,2026-06-24,,2,186.90,373.80,Completed,2026-06-24
241,3462,2025-01-28,,2,186.31,372.62,Completed,2025-01-29
242,1252,2023-08-29,,5,148.52,742.60,Completed,2023-09-02
243,9000,2023-04-11,,5,144.64,723.20,Completed,2023-04-12
244,3386,2026-05-16,,1,51.12,51.12,Completed,2026-05-21
245,9908,2026-07-14,,5,235.67,1178.35,Completed,2026-07-17
246,345,2023-02-06,,5,42.55,212.75,Pending,
247,9238,2026-09-07,,6,129.08,774.48,Pending,
248,1938,2023-09-02,,2,192.28,384.56,Completed,2023-09-07
249,8509,2024-01-03,,2,221.36,442.72,Cancelled,
250,6050,2026-02-23,,5,133.54,667.70,Completed,2026-02-26
251,7963,2026-04-29,,1,117.03,117.03,Completed,2026-05-03
252,8110,2023-04-16,,3,107.59,322.77,Completed,2023-04-18
253,2597,2024-02-13,,5,134.76,673.80,Completed,2024-02-18
254,6252,2025-11-19,,6,182.76,1096.56,Completed,2025-11-23
255,3044,2025-08-24,,2,146.32,292.64,Completed,2025-08-27
256,6106,2023-10-24,,2,232.00,464.00,Completed,2023-10-29
257,4320,2026-04-08,,1,78.79,78.79,Completed,2026-04-11
258,8862,2026-01-31,,2,207.09,414.18,Completed,2026-02-01
259,9942,2023-08-09,,5,100.95,504.75,Completed,2023-08-13
260,6148,2025-12-10,,1,71.92,71.92,Completed,2025-12-11
261,4443,2024-05-31,,3,84.47,253.41,Pending,
262,6904,2026-03-06,,2,164.72,329.44,Completed,2026-03-07
263,6826,2024-03-22,,6,114.01,684.06,Completed,2024-03-26
264,1153,2025-08-28,,5,97.56,487.80,Completed,2025-08-28
265,4774,2025-05-18,,5,168.52,842.60,Completed,2025-05-22
266,961,2026-05-27,,6,90.84,545.04,Completed,2026-05-27
267,806,2023-03-30,,1,67.92,67.92,Completed,2023-03-30
268,2882,2026-09-11,,6,88.15,528.90,Completed,2026-09-15
269,6846,2025-02-11,,5,87.01,435.05,Pending,
270,5766,2023-12-31,,5,196.50,982.50,Pending,
271,5935,2026-05-04,,3,57.55,172.65,Completed,2026-05-04
272,4446,2025-11-18,,3,135.79,407.37,Completed,2025-11-23
273,6471,2023-05-16,,4,74.63,298.52,Completed,2023-05-19
274,5181,2025-04-04,,2,110.91,221.82,Completed,2025-04-05
275,7105,2023-01-25,,5,147.33,736.65,Completed,2023-01-28
276,3835,2023-04-07,,3,241.71,725.13,Completed,2023-04-12
277,575,2025-08-17,,4,203.33,813.32,Completed,2025-08-19
278,3524,2024-09-01,,5,178.18,890.90,Pending,
279,7480,2024-10-18,,1,32.00,32.00,Completed,2024-10-23
280,3269,2024-02-03,,3,216.74,650.22,Completed,2024-02-04
281,1462,2025-08-20,,6,124.27,745.62,Completed,2025-08-22
282,6921,2024-04-03,,5,92.26,461.30,Completed,2024-04-08
283,4217,2023-10-25,,1,207.42,207.42,Completed,2023-10-25
284,2005,2025-12-02,,2,98.37,196.74,Pending,
285,2773,2023-06-21,,6,239.42,1436.52,Completed,2023-06-25
286,5513,2025-08-28,,5,73.92,369.60,Completed,2025-08-29
287,525,2024-08-17,,6,175.76,1054.56,Completed,2024-08-17
288,8495,2025-03-14,,2,120.13,240.26,Pending,
289,6542,2024-09-13,,5,138.70,693.50,Completed,2024-09-15
290,9261,2025-06-19,,1,139.68,139.68,Completed,2025-06-19
291,8243,2023-09-16,,6,92.18,553.08,Completed,2023-09-21
292,1692,2024-02-01,,5,71.30,356.50,Completed,2024-02-02
293,8821,2023-10-15,,6,58.64,351.84,Completed,2023-10-16
294,9768,2025-06-04,,4,184.77,739.08,Completed,2025-06-08
295,8662,2026-07-28,,2,82.75,165.50,Completed,2026-07-30
296,7742,2024-04-17,,3,86.56,259.68,Pending,
297,1820,2025-07-04,,3,235.32,705.96,Completed,2025-07-09
298,7460,2024-02-18,,6,164.38,986.28,Completed,2024-02-22
299,8847,2025-06-24,,2,51.59,103.18,Completed,2025-06-27
300,8402,2023-10-24,,3,91.87,275.61,Completed,2023-10-25
301,9000000,2024-05-17,225,5,128.85,644.25,Completed,2024-05-20
302,9000001,2023-02-11,340,1,73.10,73.10,Completed,2023-02-13
303,9000002,2026-01-11,470,4,225.83,903.32,Completed,2026-01-11
304,9000003,2024-07-06,203,2,109.89,219.78,Completed,2024-07-08
305,9000004,2023-03-08,386,2,37.08,74.16,Completed,2023-03-12
306,9000005,2024-10-18,232,3,160.52,481.56,Completed,2024-10-23
307,9000006,2023-03-18,147,3,247.98,743.94,Pending,
308,9000007,2023-01-08,35,6,246.04,1476.24,Cancelled,
309,9000008,2025-09-22,296,5,220.15,1100.75,Completed,2025-09-26
310,9000009,2025-04-14,236,1,213.44,213.44,Completed,2025-04-19
311,9000010,2025-05-05,208,4,259.94,1039.76,Pending,
312,9000011,2024-02-24,294,5,160.55,802.75,Pending,
313,9000012,2026-01-05,253,2,26.88,53.76,Completed,2026-01-08
314,9000013,2025-10-08,445,5,268.28,1341.40,Completed,2025-10-08
315,9000014,2025-12-28,250,6,165.39,992.34,Cancelled,
316,9000015,2023-02-03,417,6,165.21,991.26,Completed,2023-02-07
317,9000016,2024-05-13,121,1,205.81,205.81,Completed,2024-05-13
318,9000017,2023-09-24,207,5,163.67,818.35,Completed,2023-09-29
319,9000018,2026-06-02,42,6,287.64,1725.84,Completed,2026-06-03
320,9000019,2025-03-20,134,3,333.55,1000.65,Completed,2025-03-22
321,9000020,2024-01-31,354,2,202.26,404.52,Completed,2024-02-01
322,9000021,2025-01-18,12,4,106.26,425.04,Completed,2025-01-21
323,9000022,2025-12-02,443,3,167.72,503.16,Pending,
324,9000023,2026-02-12,447,1,183.23,183.23,Pending,
325,9000024,2024-11-09,296,3,220.15,660.45,Completed,2024-11-10
326,9000025,2023-09-19,15,5,31.27,156.35,Completed,2023-09-24
327,9000026,2024-09-14,115,2,129.42,258.84,Completed,2024-09-19
328,9000027,2023-07-12,444,2,139.40,278.80,Cancelled,
329,9000028,2025-10-27,99,1,68.28,68.28,Completed,2025-10-27
330,9000029,2025-08-02,467,2,303.21,606.42,Pending,
331,9000030,2023-11-18,312,3,242.73,728.19,Completed,2023-11-18
332,9000031,2026-05-27,207,3,163.67,491.01,Completed,2026-05-30
333,9000032,2024-11-20,271,4,347.41,1389.64,Completed,2024-11-22
334,9000033,2023-11-06,91,2,246.87,493.74,Completed,2023-11-06
335,9000034,2026-03-14,408,6,189.82,1138.92,Completed,2026-03-14
336,9000035,2023-01-12,197,2,245.17,490.34,Completed,2023-01-13
337,9000036,2026-08-28,254,2,332.33,664.66,Completed,2026-09-02
338,9000037,2024-01-26,122,1,71.10,71.10,Completed,2024-01-26
339,9000038,2024-09-24,276,6,39.07,234.42,Completed,2024-09-27
340,9000039,2026-03-18,76,5,187.50,937.50,Pending,
341,9000040,2025-01-20,168,6,18.65,111.90,Completed,2025-01-24
342,9000041,2023-01-16,90,6,81.49,488.94,Completed,2023-01-21
343,9000042,2026-09-09,69,3,165.37,496.11,Completed,2026-09-11
344,9000043,2024-03-26,63,4,126.07,504.28,Completed,2024-03-26
345,9000044,2025-01-29,263,4,218.70,874.80,Completed,2025-01-29
346,9000045,2026-03-31,63,3,126.07,378.21,Completed,2026-03-31
347,9000046,2023-07-21,141,1,255.82,255.82,Completed,2023-07-21
348,9000047,2024-01-08,70,1,203.86,203.86,Completed,2024-01-09
349,9000048,2026-03-27,382,1,118.52,118.52,Completed,2026-03-27
350,9000049,2024-01-02,126,6,339.10,2034.60,Completed,2024-01-03
351,1984,2026-03-11,8000000,6,38.26,229.56,Completed,2026-03-16
352,8852,2025-11-04,8000001,3,245.36,736.08,Pending,
353,8109,2024-10-11,8000002,2,29.47,58.94,Completed,2024-10-13
354,1390,2023-07-10,8000003,1,151.93,151.93,Completed,2023-07-14
355,5562,2023-10-18,8000004,1,85.51,85.51,Cancelled,
356,7855,2026-08-06,8000005,6,198.66,1191.96,Completed,2026-08-11
357,8851,2024-08-23,8000006,2,160.80,321.60,Pending,
358,1976,2026-08-29,8000007,3,173.48,520.44,Completed,2026-08-29
359,9356,2026-05-26,8000008,1,123.95,123.95,Completed,2026-05-27
360,354,2023-08-06,8000009,6,188.09,1128.54,Completed,2023-08-06
361,1770,2024-07-19,8000010,2,184.25,368.50,Completed,2024-07-22
362,7306,2023-06-10,8000011,1,236.17,236.17,Completed,2023-06-10
363,4943,2026-02-20,8000012,1,104.58,104.58,Completed,2026-02-25
364,5701,2023-10-26,8000013,1,159.29,159.29,Completed,2023-10-30
365,8964,2026-07-18,8000014,4,51.66,206.64,Completed,2026-07-20
366,2378,2026-02-27,8000015,5,116.62,583.10,Cancelled,
367,6116,2023-09-16,8000016,6,82.27,493.62,Completed,2023-09-18
368,6751,2025-08-08,8000017,1,220.69,220.69,Completed,2025-08-11
369,7286,2023-05-27,8000018,2,118.66,237.32,Pending,
370,5091,2024-07-09,8000019,1,60.93,60.93,Completed,2024-07-11
371,9446,2023-09-25,8000020,2,65.78,131.56,Completed,2023-09-30
372,2705,2026-07-14,8000021,1,117.25,117.25,Completed,2026-07-15
373,268,2026-02-12,8000022,5,129.84,649.20,Completed,2026-02-16
374,7159,2023-08-26,8000023,1,179.35,179.35,Completed,2023-08-27
375,2310,2024-12-06,8000024,3,8.43,25.29,Completed,2024-12-09
376,1513,2025-03-10,8000025,5,165.86,829.30,Completed,2025-03-12
377,996,2024-10-15,8000026,6,164.86,989.16,Completed,2024-10-16
378,5611,2026-01-12,8000027,1,157.61,157.61,Completed,2026-01-12
379,6677,2024-08-17,8000028,6,188.37,1130.22,Completed,2024-08-21
380,3045,2025-06-17,8000029,3,225.58,676.74,Completed,2025-06-17
381,5596,2025-06-08,340,4,73.10,292.40,Completed,2025-06-13
382,1575,2025-09-17,432,1,66.19,66.19,Completed,2025-09-18
383,6558,2025-11-17,289,2,16.76,33.52,Completed,2025-11-18
384,4434,2025-01-05,489,5,59.59,297.95,Completed,2025-01-07
385,3415,2026-06-06,11,4,57.78,231.12,Completed,2026-06-10
386,7434,2025-11-10,259,2,73.71,147.42,Completed,2025-11-10
387,826,2023-12-28,365,1,31.16,31.16,Pending,
388,8248,2023-11-09,175,3,336.47,1009.41,Completed,2023-11-12
389,4240,2026-06-12,174,2,165.31,330.62,Completed,2026-06-14
390,4186,2024-11-28,27,3,160.74,482.22,Completed,2024-12-01
391,5841,2026-06-15,376,1,305.60,305.60,Completed,2026-06-19
392,7714,2024-06-10,383,5,279.55,1397.75,Completed,2024-06-12
393,570,2024-08-30,129,6,137.81,826.86,Completed,2024-09-04
394,4929,2026-02-27,444,2,139.40,278.80,Completed,2026-03-04
395,287,2025-01-31,304,3,148.01,444.03,Completed,2025-02-02
396,9873,2024-01-09,45,2,350.59,701.18,Completed,2024-01-09
397,1604,2025-07-16,413,5,34.56,172.80,Pending,
398,4668,2026-04-10,476,3,173.25,519.75,Completed,2026-04-11
399,3011,2025-11-17,430,5,243.88,1219.40,Completed,2025-11-22
400,9394,2025-10-22,172,3,61.60,184.80,Pending,
401,2545,2026-05-13,225,4,128.85,515.40,Pending,
402,3598,2024-07-23,2,3,88.02,264.06,Completed,2024-07-28
403,5589,2026-03-08,12,3,106.26,318.78,Cancelled,
404,7234,2026-08-28,273,6,195.38,1172.28,Completed,2026-08-30
405,1101,2025-06-08,452,5,257.83,1289.15,Completed,2025-06-09
406,8295,2023-05-11,344,6,321.50,1929.00,Completed,2023-05-13
407,9236,2023-11-26,389,2,149.06,298.12,Completed,2023-11-26
408,1970,2025-10-29,446,3,201.92,605.76,Completed,2025-11-01
409,2609,2023-08-04,126,4,339.10,1356.40,Cancelled,
410,6161,2025-01-25,190,6,144.15,864.90,Completed,2025-01-28
411,3647,2023-04-10,1,3,137.24,411.72,Pending,
412,3168,2024-10-16,104,1,262.77,262.77,Completed,2024-10-16
413,5709,2024-08-27,203,6,109.89,659.34,Completed,2024-09-01
414,5983,2024-11-05,429,5,102.82,514.10,Completed,2024-11-07
415,1504,2025-03-09,136,4,266.27,1065.08,Cancelled,
416,3452,2026-06-21,175,2,336.47,672.94,Cancelled,
417,8265,2026-06-14,100,2,104.41,208.82,Completed,2026-06-16
418,7776,2025-07-25,446,1,201.92,201.92,Completed,2025-07-30
419,6440,2025-05-17,63,3,126.07,378.21,Pending,
